EmployeeID,Department,JobRole,JobLevel,ManagerID,LocationType,Age,Gender,EducationLevel,YearsAtCompany,YearsSinceLastPromotion,PerformanceRating,HistoricalRatingAvg,CalibrationAdjustedFlag,SelfRating,PeerAvgRating,SubordinateAvgRating,Overall360Score,SelfOtherGap,Leadership360,Collaboration360,OKRCompletionPct,NumOKRsAssigned,WeightedGoalAttainment,EngagementScore,JobSatisfaction,WorkLifeBalanceRating,BurnoutRisk,TrainingHoursLastYear,OvertimeHoursMonthly,AbsenteeismDays,AvgMonthlyHours,ProjectsHandled,PercentSalaryHikeLast,BonusPayoutPct,HighPotentialFlag,PIPHistoryFlag,HighPerformer,PerformanceTrend,SelfOtherGapBucket,OKREfficiencyScore,Rating360Variance,WorkloadRatio,WorkloadZone,TenureBucket,PromotionLagFlag,BurnoutWorkloadIndex,TrainingEfficiency,LeadershipGap,PromotionReadinessScore,ReadinessCategory,EngagementPerfAlignment,EngagementPerfQuadrant,ReportMonth
EMP00001,Product,UX Researcher,M1,MGR0171,Remote,31,Female,Master's,1.4,1.2,1.5,2.04,0,1.49,2.1,2.04,1.88,-0.61,1.47,2.12,44.9,7,38.5,28.1,1.72,3.1,Medium,0,21.0,0,175,7,1.9,0.22,0,0,0,-0.54,UnderEstimates Self,6.04,0.336,0.946,Optimal,1-3yr,0,0.36,-0.54,-0.41,0.178,Not Yet Ready,0.026,Needs Support (Low Eng + Low Perf),2024-10
EMP00002,Finance,Finance Manager,Director,MGR0137,Hybrid,22,Male,Master's,4.0,1.7,3.0,2.29,0,3.74,2.36,3.91,3.34,1.38,3.36,2.41,68.7,8,69.3,62.0,1.84,3.42,Medium,10,37.0,0,186,12,5.7,0.7,0,0,0,0.71,Significant Inflation,8.56,0.85,0.886,Under-Utilized,3-7yr,0,0.36,0.071,0.02,0.466,Development Needed,0.28,Star (High Eng + High Perf),2024-10
EMP00003,Marketing,Marketing Analyst,M1,MGR0019,Hybrid,35,Male,Bachelor's,0.5,0.2,2.5,2.5,1,3.05,2.74,2.91,2.9,0.31,2.22,2.11,73.8,6,70.2,41.7,3.09,3.34,Medium,3,27.4,0,185,7,5.8,0.39,0,0,0,0.0,Aligned,12.1,0.155,1.0,Optimal,0-1yr,0,0.36,0.0,-0.68,0.347,Not Yet Ready,0.128,Needs Support (Low Eng + Low Perf),2024-10
EMP00004,Product,UX Researcher,M1,MGR0140,On-Site,34,Female,Bachelor's,3.7,2.4,3.5,2.78,1,4.09,2.75,3.92,3.59,1.34,3.57,2.38,67.3,8,59.8,85.2,3.83,2.29,Low,42,18.4,0,180,5,8.8,0.98,0,0,0,0.72,Significant Inflation,8.39,0.73,0.973,Optimal,3-7yr,0,0.12,0.0171,-0.02,0.516,Ready in 12 Months,0.504,Star (High Eng + High Perf),2024-10
EMP00005,HR,Recruiter,IC1,MGR0155,Remote,31,Female,Bachelor's,2.4,0.8,1.8,2.1,0,2.17,1.77,3.92,1.81,0.4,1.79,1.22,47.7,4,53.1,53.3,2.64,4.79,Low,0,12.3,7,164,3,4.8,0.13,0,0,0,-0.1,Aligned,12.68,1.143,1.025,Optimal,1-3yr,0,0.142,-0.1,-0.02,0.241,Not Yet Ready,0.114,Needs Support (Low Eng + Low Perf),2024-10
EMP00006,Customer Success,Onboarding Manager,Director,MGR0112,Hybrid,36,Male,Master's,3.0,2.3,4.4,4.71,0,4.39,4.66,4.78,4.61,-0.27,3.77,3.48,82.4,8,89.1,58.8,3.63,3.45,Medium,8,25.6,3,170,11,6.0,0.88,1,0,1,-0.21,Aligned,10.29,0.2,0.81,Under-Utilized,1-3yr,0,0.36,-0.0262,-0.84,0.814,Ready Now,0.485,Star (High Eng + High Perf),2024-10
EMP00007,Marketing,Marketing Analyst,IC1,MGR0058,On-Site,45,Male,Master's,3.1,1.7,3.4,3.59,0,4.29,3.99,4.78,3.9,0.3,1.55,3.41,64.3,5,63.9,50.2,1.63,3.22,Low,21,12.4,3,180,1,5.0,0.53,0,0,0,-0.09,Aligned,13.22,0.399,1.125,Optimal,3-7yr,0,0.228,-0.0043,-2.35,0.513,Ready in 12 Months,0.273,Flight Risk (Low Eng + High Perf),2024-10
EMP00008,Marketing,Content Strategist,Director,MGR0025,Hybrid,45,Non-Binary,Bachelor's,0.8,0.6,2.1,2.02,0,3.0,1.82,2.26,2.36,1.18,1.93,1.08,48.3,8,51.2,50.7,1.17,4.55,Low,5,22.4,3,173,10,0.0,0.2,0,1,0,-0.02,Significant Inflation,6.38,0.596,0.824,Under-Utilized,0-1yr,0,0.12,-0.004,-0.43,0.243,Not Yet Ready,0.112,Needs Support (Low Eng + Low Perf),2024-10
EMP00009,Product,Product Manager,Director,MGR0045,Remote,36,Female,Master's,5.9,2.4,1.0,1.0,0,1.71,1.0,1.0,1.24,0.71,1.0,1.0,40.9,8,43.2,39.0,2.79,2.09,Medium,0,25.8,2,192,9,0.0,0.53,0,1,0,0.0,Slight Inflation,5.12,0.41,0.914,Optimal,3-7yr,0,0.36,0.0,-0.24,0.187,Not Yet Ready,0.0,Needs Support (Low Eng + Low Perf),2024-10
EMP00010,Sales,Sales Development Rep,IC3,MGR0102,On-Site,34,Male,Master's,3.2,2.2,4.4,4.02,0,5.0,4.47,1.0,4.59,0.53,3.27,3.92,97.5,7,100.0,94.7,3.89,4.99,Low,54,18.1,2,178,8,11.6,1.09,1,0,1,0.48,Slight Inflation,14.13,2.173,1.017,Optimal,3-7yr,0,0.135,0.0089,-1.32,0.852,Ready Now,0.789,Star (High Eng + High Perf),2024-10
