EmployeeID,Department,JobRole,JobLevel,ManagerID,LocationType,Age,Gender,EducationLevel,YearsAtCompany,YearsSinceLastPromotion,PerformanceRating,HistoricalRatingAvg,CalibrationAdjustedFlag,SelfRating,PeerAvgRating,SubordinateAvgRating,Overall360Score,SelfOtherGap,Leadership360,Collaboration360,OKRCompletionPct,NumOKRsAssigned,WeightedGoalAttainment,EngagementScore,JobSatisfaction,WorkLifeBalanceRating,BurnoutRisk,TrainingHoursLastYear,OvertimeHoursMonthly,AbsenteeismDays,AvgMonthlyHours,ProjectsHandled,PercentSalaryHikeLast,BonusPayoutPct,HighPotentialFlag,PIPHistoryFlag
EMP00001,Product,UX Researcher,M1,MGR0171,Remote,31,Female,Master's,1.4,1.2,1.5,2.04,0,1.49,2.1,2.04,1.88,-0.61,1.47,2.12,42.3,7,38.5,28.6,1.72,3.1,Medium,0,21.0,1,175,7,1.9,0.22,0,0
EMP00002,Finance,Finance Manager,Director,MGR0137,Hybrid,22,Male,Master's,4.0,1.7,3.0,2.29,0,3.74,2.36,3.91,3.34,1.38,3.36,2.41,68.5,8,69.3,60.4,1.84,3.42,Medium,10,37.0,0,186,12,5.7,0.7,0,0
EMP00003,Marketing,Marketing Analyst,M1,MGR0019,Hybrid,35,Male,Bachelor's,0.5,0.2,2.5,2.5,1,3.05,2.74,2.91,2.9,0.31,2.22,2.11,72.6,6,70.2,40.6,3.09,3.34,Medium,3,27.4,0,185,7,5.8,0.39,0,0
EMP00004,Product,UX Researcher,M1,MGR0140,On-Site,34,Female,Bachelor's,3.7,2.4,3.5,2.78,1,4.09,2.75,3.92,3.59,1.34,3.57,2.38,67.1,8,59.8,82.6,3.83,2.29,Low,42,18.4,0,180,5,8.8,0.98,0,0
EMP00005,HR,Recruiter,IC1,MGR0155,Remote,31,Female,Bachelor's,2.4,0.8,2.0,2.1,0,2.17,1.77,,1.81,0.4,1.79,1.22,50.7,4,53.1,51.0,2.64,4.79,Low,0,12.3,8,164,3,4.8,0.13,0,0
EMP00006,Customer Success,Onboarding Manager,Director,MGR0112,Hybrid,36,Male,Master's,3.0,2.3,4.5,4.71,0,4.39,4.66,4.78,4.61,-0.27,3.77,3.48,82.3,8,89.1,59.9,3.63,3.45,Medium,8,25.6,3,170,11,6.0,0.88,1,0
EMP00007,Marketing,Marketing Analyst,IC1,MGR0058,On-Site,45,Male,Master's,3.1,1.7,3.5,3.59,0,4.29,3.99,,3.9,0.3,1.55,3.41,66.1,5,63.9,49.3,1.63,3.22,Low,21,12.4,2,180,1,5.0,0.53,0,0
EMP00008,Marketing,Content Strategist,Director,MGR0025,Hybrid,45,Non-Binary,Bachelor's,0.8,0.6,2.0,2.02,0,3.0,1.82,2.26,2.36,1.18,1.93,1.08,51.0,8,51.2,50.2,1.17,4.55,Low,5,22.4,3,173,10,0.0,0.2,0,1
EMP00009,Product,Product Manager,Director,MGR0045,Remote,36,Female,Master's,5.9,2.4,1.0,1.0,0,1.71,1.0,1.0,1.24,0.71,1.0,1.0,41.0,8,43.2,41.2,2.79,2.09,Medium,0,25.8,3,192,9,0.0,0.53,0,1
EMP00010,Sales,Sales Development Rep,IC3,MGR0102,On-Site,34,Male,Master's,3.2,2.2,4.5,4.02,0,5.0,4.47,,4.59,0.53,3.27,3.92,98.9,7,100.0,91.2,3.89,4.99,Low,54,18.1,1,178,8,11.6,1.09,1,0
EMP00011,HR,Compensation Analyst,Director,MGR0048,Hybrid,36,Female,Master's,1.3,0.9,3.0,3.75,0,3.32,3.48,2.39,3.06,-0.16,3.33,2.63,62.1,8,67.8,51.0,3.55,2.57,Low,24,25.5,2,191,9,4.3,0.7,0,0
